priority,name,city,strategy,category,rating,reviews,price_from,website,what,why,gift_cert_ready,visual_score,set_fit,rating_source,note,yandex_maps_query,yandex_maps_url,source,confidence,maybe_partner,status,comment
A,Whisky Rooms,Москва,premium,Виски-дегустации / клубные вечера,5.0,975,9000,https://whisky-rooms.ru/,Клубный вечер-дегустация виски с гастросетом и виски-экспертом в ресторане с коллекцией 300+ виски у Красной площади.,"5.0 при 975 оценках на Яндекс Картах, еженедельные дегустации, собственный сертификат на сайте; исторический интерьер XIX века.",True,5,Для двоих;Для мужчин;Премиум,,,Whisky Rooms Леонтьевский переулок 8,,https://yandex.ru/maps/org/whisky_rooms/1344076335/,high,ROOMS,,
A,MAG Aero (полёты над Москвой),МО,air,вертолёт / самолёт,5.0,909,3900,https://magaero-msk.ru/polet-na-vertolete,"Полёты на вертолёте Robinson R44 и самолётах с аэродрома Мячково: обзорные над Подмосковьем, «свидание в самолёте», подарочные сертификаты.","Рейтинг 5.0 на Яндекс Картах при 909 оценках, готовая витрина сертификатов; есть жалобы на переносы по погоде — уточнить SLA.",True,4,Для двоих;Для мужчин;Универсальные,,,Mag Aero аэродром Мячково,,https://yandex.com/maps/org/mag_aero/49675590159/reviews/,high,,,
A,Dream Aero (авиатренажёр Boeing 737 / A320),Москва,air,авиасимулятор,5.0,741,5000,https://dream-aero.ru/,"Полнофункциональный тренажёр Boeing 737NG и Airbus A320 на подвижной платформе (создан с а/к «Россия»), сессии 30–180 мин с инструктором.","Профессиональный full-motion тренажёр — премиальнее Cessna-симуляторов из базы; много отзывов на Яндекс Картах, irecommend; сертификаты популярны как подарок.",True,4,Для двоих;Для мужчин;Универсальные,yandex,"Сеть: 3+ локации в Москве (Пресненская наб., Рио Дмитровка, Columbus). Награда Яндекс «Good place 2026». 2ГИС 5.0 (9 оценок)",авиатренажер Dream Aero Пражская,,https://yandex.com/maps/org/aviatrenazher_dream_aero/120979379226/reviews/,high,,,
A,"Парк альпак «Симба» (Мистолово, Охта Парк)",СПб и ЛО,family,Ферма альпак,5.0,436,,https://spb.parkalpak.ru/,"Контактный парк альпак у курорта Охта Парк: свободный выгул альпак, кормление вне вольеров, ламы, козы, кролики, европейские лани.","20 минут от КАД, самый близкий к городу альпака-парк; сочетается с Охта Парком (каток, склоны) — сильный зимний семейный маршрут.",,5,Для детей;Универсальные,2gis,"это федеральная сеть (Москва, Казань, Уфа...); 2ГИС 5.0/436 для Мистолово",Парк альпак Симба Мистолово,,https://spb.parkalpak.ru/,medium,,,
A,Парк альпак «Симба» + Охта Парк,СПб и ЛО,country,Загородный день у курорта,5.0,436,,https://spb.parkalpak.ru/,"Альпака-парк на территории курорта Охта Парк (Мистолово): прогулка с животными, рядом каток, склоны и рестораны курорта.","Готовый загородный маршрут на день в 20 минутах от КАД, круглогодично.",,5,Для двоих,2gis,"дубликат записи «Парк альпак Симба (Мистолово)» — те же данные, отдельный запрос не делался",Парк альпак Мистолово Людмилы Кедриной 20,,https://spb.parkalpak.ru/,medium,,,
A,Moscow Dream Cars,Москва,premium,Аренда суперкаров / тест-драйв,5.0,358,,https://moscowdreamcars.ru/,"Аренда или тест-драйв Ferrari, Lamborghini, Rolls-Royce с водителем и без; сертификат на аренду премиум-авто.","5.0 при 358 оценках на Яндекс Картах, огромный автопарк, на сайте отдельная страница подарочного сертификата.",True,5,Для двоих;Для мужчин;Премиум,,,Moscow Dream Cars Усачёва 22,,https://yandex.com/maps/org/moscow_dream_cars/207751665699/,high,,,
A,Ляг Спиной (студия массажа),Москва,beauty,Массаж с сильным брендом,5.0,333,4500,,"Часовой авторский массаж (лицо/тело, спортивный, расслабляющий) в «самой модной студии массажа Москвы и Питера».","Узнаваемый молодой бренд с дерзким неймингом и визуалом, есть в обоих городах; чек от 4500 ₽ попадает в целевой диапазон.",,4,Для двоих;Для женщин,other,"5.0/333 и 5.0/301 на двух локациях (площадка в сниппете не названа, есть карточки Яндекс/2ГИС/T-Bank); сеть: Итальянская 17, наб. Макарова 24; сайт не найден (lyagspinoy)",Ляг Спиной студия массажа,,https://top15moscow.ru/novosti/5-luchsih-massazhnyh-salonov-peterburga,medium,,,
A,Ляг Спиной (студия массажа),Санкт-Петербург,beauty,Массаж с сильным брендом,5.0,333,4500,,Часовой авторский массаж в петербургской студии бренда «Ляг Спиной».,"Тот же бренд для СПб; сильная соцсеть-подача, чек от 4500 ₽.",,4,Для двоих;Для женщин,other,"5.0/333 и 5.0/301 на двух локациях (площадка в сниппете не названа, есть карточки Яндекс/2ГИС/T-Bank); сеть: Итальянская 17, наб. Макарова 24; сайт не найден (lyagspinoy)",Ляг Спиной массаж Санкт-Петербург,,https://top15moscow.ru/novosti/5-luchsih-massazhnyh-salonov-peterburga,medium,,,
A,Yahmur (центр релаксации и звуковых медитаций),Москва,mindful,Звуковые ванны + спа,5.0,109,,https://www.yahmur.space/,"Гонг-медитации в гамаках, гвоздестояние и спа-процедуры в одном центре.",Сочетание sound healing и спа даёт готовую «программу на вечер» под сертификат.,,4,Для двоих;Для женщин,2gis,"Сеть: 4 филиала (пр. Мира 71, Покровка 9, Волхонка 7/6 и др.). Zoon 4.8",Yahmur центр релаксации Москва,,https://www.yahmur.space/,low,,,
A,ZoomRacing (симрейсинг-клуб),Санкт-Петербург,tech,sim racing,5.0,67,1500,https://zoomracing.ru/,"Клуб симрейсинга у м. Балтийская (Измайловский б-р, 1к2): direct-drive симуляторы MOZA с force feedback и load-cell педалями, регулируемые кокпиты.","Профессиональное «железо», подходит и новичкам, в топ-10 симрейсинга СПб по vc.ru; категории sim racing в базе партнёров пока нет.",,4,Для мужчин;Универсальные,yandex,"Яндекс Карты 5.0/67 (Измайловский бульвар 1к2); это сеть: Магнитогорская 5.0, Шереметьевская 3.0 (Zoon)",ZoomRacing симрейсинг Измайловский бульвар,,https://vc.ru/services/2002596-simreysing-v-sankt-peterburge-top-10-mest,medium,,,
A,Глэмпинг Green Point — купол с чаном для двоих,МО,country|romance,Романтический побег загородом,5.0,60,,https://gpglamp.ru/,"Три купола Freedome с кроватью king size, панорамными окнами, террасой и собственным сибирским чаном у реки в Тучково; SPA-купол с сауной, хамамом и кедровой бочкой.",«Ночь в куполе + чан под звёздами» — самый востребованный формат романтического сертификата; 70 км от Москвы.,,5,Для двоих,other,"5.0/60 отзывов и 9.8 на площадках бронирования (Островок/Яндекс Путешествия и т.п.). 3 купольных домика, Тучково, 70 км по Минскому ш.",Глэмпинг Green Point Тучково,,https://welcome.mosreg.ru/oteli/glemping-green-point,medium,,,
A,Точка Импро,Санкт-Петербург,learn,Импровизация / стендап,5.0,58,,https://tochkaimpro.ru/,Школа актёрской импровизации и юмора в центре СПб: выход на настоящую сцену через 8 занятий; есть курс стендапа.,Импро-школа с регулярными событиями на TimePad — живое комьюнити и понятный результат.,,3,Для женщин;Универсальные,2gis,"2ГИС 5.0/58 (Мира 3а); Zoon 5, Yell 5; есть карточка Яндекс Карт",Точка Импро школа импровизации Санкт-Петербург,,https://tochkaimpro.ru/,medium,,,
A,Сила ветра,Москва,water,яхтинг / регаты,5.0,25,5000,https://silavetra.com/certificate,"Тренировки и вечерние регаты на яхтах в Москве (Строгино/Пироговское), школа капитанов, парусные путешествия.","Самый медийный яхтенный бренд России с молодой аудиторией и отличным визуалом, собственный подарочный сертификат; также работает в СПб.",True,5,Для двоих;Для мужчин;Универсальные,2gis,"Сеть (Москва, Санкт-Петербург и др.); карточки Яндекс Карт по Строгинскому ш. Есть жалоба о невозврате денег при отмене из-за штиля",Сила ветра яхтинг Москва,,https://silavetra.com/certificate,high,,,
A,МИР РА (студия гонг-медитаций),Москва,mindful,Гонг-медитация / sound healing,5.0,16,,https://gong-meditation.ru/,"Гонг-медитация в гамаке с двумя большими гонгами PAISTE, массаж поющими чашами, гвоздестояние — в 7 минутах от Таганской.","800+ отзывов и 12 000 гостей за 3 года, премиальная студия; sound healing — топ-тренд 2025–2026 в подарках «для себя».",,4,Для двоих;Для женщин,2gis,"Есть карточка на Яндекс Картах (Пролетарская); сайт заявляет 800+ отзывов, 12 000 гостей за 3 года",Мир РА гонг-медитация Гвоздева 7/4,,https://gong-meditation.ru/studio,medium,,,
